,gender,message
0,female, hey going marshmello get money going wristband buy going attending time
1,female, selling ticket per vegas la pm let linq vegas painted
2,female, edc first night shuttle lines tickets yet please tell time going get festival grounds vegas la time meet inside tonight wants share pm need wristbands linq shuttle pass las wait vegas meet vegas within selling sunday edc wristband help need ticket downtown going las edc wristband could tickets scan vegas village especially
3,female, got day lets day also edc bracelets meet back tomorrow heading please thank amazing pm plz please pop vegas little edc remember free going day shuttle stop vegas painted need wristbands day general selling one ga last resort please edc remember tonight intrigue trying stay circus wants selling chainsmokers edc sat pm let shit vegas today edc wristband
4,female, day shuttle lines linq pm bus las u get uber one sunday located time shuttle pass willing take selling made selling ticket linq shuttle stop tickets sale hmu linq pop time single people need wristbands day sunday located shuttle sale hmu day day pass lmk get back going edc high get hot get us time need
5,female, need care need one wristband buy big red time life married free need linq edc day sunday santa pop many get back tomorrow message pop first linq one sale pm going get wristband plz free pop please vegas village lot near time year get existing edc ya pm need ticket san day called edc tickets tonight tomorrow heading one
6,female, two shuttle pop going attending day admission selling made anyone know kaskade one experience ya linq tonight edc first day ga saturday linq going las id pm edc pass pm interested vegas meet around going need wristbands need wristbands trying anyone interested pop vegas festival need trade day admission tickets vancouver wa wristband
7,female, sold shuttle last tonight saturday going marshmello please linq anyone going split tickets stolen meet back go anyone zedd
8,female, sunday
9,female, lost shuttle ticket please pm need ticket linq asking one please let pm get made edc day vegas earlier u going day shuttle pass message edc ga pass anyone chance going marshmello day general pm edc
10,female, staying mirage vegas la tickets sell three shuttle stop tonight shuttle pop people hyde people shuttle pop pm get rid shuttle pop need linq little edc kinetic vegas within need one wristband help day pass edc kinetic going attending people need place need least meet trade get existing vegas many get lyft day selling wristband could day parties
11,female, staying tickets sale vegas little one please id please
12,female, anyone wristband edc kinetic tickets today ones free seats please day wristbands vegas around one please pop edc tickets friday able vegas hotel
13,female, day ticket ga pass willing pick going vegas painted shuttle lines one n day pass santa anyone went vegas la tickets yet u vip pop people pack day ga pm interested id selling one hour selling two going anyone zedd linq shuttle car
14,female, got mouth tonight wants anyone staying wristband sunday tickets tonight intrigue shuttle ticket tonight drive way need linq anyone still looking sunday wristbands today shuttle last shuttle passes last free seats free seats
15,female, still open tonight selling wristbands pop free shuttle per pop pm id linq linq
16,female, sold passes departing selling ga need trade
17,female, last person going shuttle stop day day wristbands one another people anyone chance anyone
18,female, selling parking vegas wanna tonight edc amazing wait day bed edc respect selling sunday tickets yet need day bed people shuttle im u like going need least need say tonight see something linq pop linq id
19,female, day passes village need say vegas festival linq pm pm id free green shuttle pass las
20,female, last night send going attending
21,female, lost get painted time andy day sunday ga anyone need trade edc year going one friends one days attending time shuttle ticket sacramento
22,female, sunday santa anyone willing pm tomorrow heading selling one day selling two saturday
23,female, really pm linq anyone else linq anyone else going need sunday wrist
24,female, https vegas earlier need linq anyone chance selling two come tonight sell msg time andy free shuttle pop vegas vip going selling mgm especially anyone take going get made tonight able get air vegas around
25,female, ga tickets yesterday able shuttle meet need trade one gold pm day also vegas many traffic right please pm edc respect please edc pass cheap selling two passes
26,female, lost edc respect get mouth need wristbands together obo selling town edc amazing anyone selling two going vegas today one hour going hakassan get air please thank anyone heading linq
27,female, two
28,female, one wristband anyone else one best shuttle going attending tickets strangers please cash edc sat tonight drive going tickets today going wristband pick mirage anytime linq edc first heard day shuttle per day one ticket downtown time vegas painted need least
29,female, two id going split selling wristbands one hour last free
30,female, https one wristband hmu shuttle
31,female, last please day passes edc ya free pop pm shuttle rides one please day lets selling two friends edc respect day parties shuttle lines tomorrow get tongue people vegas hotel
32,female, edc remember free park day
33,female, really
34,female, last edc
35,female, looking sat wait see u tickets
36,female, sunday las need id vegas today need wristbands get uber tickets friday anyone interested vegas app linq
37,female, ga pm thanks id going edc first serve people gave water need trade pm pls message pop get made pm interested obo vegas wanna please day even need get made anyone staying going anyone know need trade wristband ga sunday morning anyone chance tickets drink get uber zdrg u
38,female, got boyfriend enjoy linq please
39,female, staying pm get back
40,female, need tickets code lyft code going hakassan tonight see us vegas la linq ground shuttle meet vegas festival
41,female, lost edc bracelets get lyft need tickets scan today ones free uber driver trying vegas saturday get new one another people getting selling saturday sunday wrist time meet flamingo get new vegas vip vegas pick close dm wristband buy something pm let friends vegas la tonight saturday pass l day passes edc shuttle meet strip tickets
42,female, last vegas painted get day pass tonight tomorrow tia need least first night without need id please get existing day pass las shuttle rides first linq vegas saturday vegas help check
43,female, lost edc planing drink people sold shitty free use code rides one
44,female, need day lets please linq one hour day general pop selling cheap shuttle rides shuttle pop day wristbands message give going
45,female, two
46,female, got selling unregistered time vegas pick get hot need say vegas within need care linq pm pls one saturday pop pm edc planing meet aria need day even need least going las please message get tongue shuttle ticket obo edc pass edc ga give tonight tomorrow going need trade pm pls vegas today asap get uber going anyone take shuttle concord shuttle lv pm tomorrow go hmu want explore wristband need sunday ticket also get uber vegas within
47,female, one
48,female, one
49,female, sunday obo need chainsmokers time offer feel first going anyone wristband interested shuttle edc ya people get tongue first year tonight see want anyone need id need sat ground please thank selling town edc ga day general going wristband ga day even anyone staying circus wants go tonight sun edc amazing one coming anyone else
50,female, sold need shuttle lines
51,female, got tonight tomorrow heading anyone take edc pass concord ca get existing
52,female, anybody selling unregistered tickets guess free vegas vip anyone buy sunday edc sunday bands get help staying pm pm let need place shuttle meet need place guys edc first year electric day wristbands trying get mouth shuttle concord edc bracelets get edc kinetic get air time andy vegas
53,female, one friends behind going las free one two saturday tried
54,female, staying get us pop need id anyone need tickets today asap dm day selling day bed ca linq need place one day passes linq shuttle bus tonight drive pm tonight sunday part day passes hmu want tonight shuttle lv free app pm interested get new people like hitch time life linq please day admission
55,female, selling chainsmokers
56,female, staying wristband anyone went shuttle im tonight sell let get hot wristband ga tomorrow vegas today tried time would tickets stolen able need tickets round
57,female, sunday part going shuttle concord please id vegas wanna tonight sunday ga day
58,female, last pm tomorrow tia shuttle stop need least tickets guess linq pop time day general
59,female, ga tickets tonight sunday wrist free drinks need day selling wristbands linq shuttle sale vegas app get hot going las linq ground going attending shuttle edc year shuttle
60,female, staying linq shuttle going tickets drink free
61,female, https vegas vip get tongue pm thanks edc amazing going las vegas already selling unregistered one wristband pick flamingo one experience shuttle concord time lol
62,female, got boyfriend shuttle edc ticket tonight sell three anyone found cash edc first time andy
63,female, one experience shuttle per ride shuttle concord selling wristbands tonight sunday
64,female, sold wristband anyone wristband back shuttle lines day shuttle stop get wristband pick vegas vip
65,female, anybody pm
66,female, looking sunday
67,female, sold day sunday santa time going wristband ga wristband
68,female, hey tonight tomorrow message might first come shuttle lv day shuttle lv tonight sunday passes mgm linq one n time edc shuttle rides vegas help edc year one
69,female, one friends tickets friday day ticket meet asap linq day passes mgm day sunday passes last linq going get rid
70,female, anybody wristband registered need least day selling made tickets sale meet flamingo selling parking pass edc sunday wrist going
71,female, https free one ga anyone else tickets vancouver tonight saturday sunday part pm tonight anyone else selling one linq
72,female, staying wristband edc year tickets drugs
73,female, lost pass pm shuttle rides vegas around watch tickets tonight wants vegas today edc respect u edc sat day even anyone went get wristband interested pop people get day
74,female, hey going las id tickets sale id need day ga linq anyone willing need help tonight back tomorrow make
75,female, lost going day ticket also tickets today ones people
76,female, staying pm day ga tickets drink need get money shuttle meet flamingo get uber zdrg u vegas help anyone take drugs vegas hotel get lyft going tonight meet within day day bed please pop please id day selling two day pass message best guys last resort
77,female, ga day ga tickets friday pass lmk tonight back edc day ga edc high pm linq get hot shuttle going get festival pay tonight tomorrow heading time andy one sunday morning tickets round one best pop please thank get day ticket wet edc bracelets going edc planing get day selling cheap get green edc bracelets free drinks time day called day admission vegas la vegas la wanna free get us edc high tonight sunday wrist free green selling ga tomorrow anyone going split going tonight selling cheap linq edc pass anyone need get tongue get green wristband festival get new tickets drugs tonight sunday las wait going attending need wristbands message shuttle im tickets obo shuttle car anyone interested obo need chainsmokers day called tickets code going attending first going day vegas help us get tongue
78,female, lost anyone take one wristband village shuttle stop tonight saturday edc day bed need
79,female, sunday bands need sat pop shuttle car anyone went linq little day even tonight drive day pass tonight anyone else need wristbands day also tonight intrigue need linq please pop selling ticket tonight sun anyone going selling sunday june pm tomorrow edc respect need tickets today linq anyone interested edc bracelets selling two need say one ga need place selling edc ga tomorrow sale village tonight anyone buy linq going selling day wristbands shuttle
80,female, sunday ticket sale electric get hot going las wait going tonight sunday ga tickets sell need day called
81,female, lost get us selling wristbands vegas help pm shuttle lines pm edc ticket downtown one n tonight need help going selling adventure
82,female, sunday wristbands anyone know need two going wristband village wait selling day sunday wrist edc amazing tonight able time everyone day called tonight intrigue tonight sell one another time single vegas
83,female, anybody needs tickets friday shuttle
84,female, anyone found shuttle last edc wristband plz time meet around one another people gave day one friends experience anyone going hakassan tickets drugs tonight shuttle passes trust shuttle stop time get money shuttle
85,female, hey selling saturday sunday santa pop people edc ticket lv linq one another day parties edc day one coming day one saturday ticket san shuttle sale tonight shuttle pass village pm day admission anyone willing day selling unregistered message tried pm get painted time help edc ya edc respect one please thank need least linq asking get back
86,female, got general selling ticket saturday id selling edc wristband village pm linq vegas pick vegas festival get green wristband hmu pop day lets need tickets vancouver tonight sell need linq id need help pm thanks tonight sunday tickets scan tickets vancouver day ticket tonight tomorrow better selling mgm sale edc amazing free edc planing
87,female, anyone staying pm going attending free linq
88,female, really
89,female, last shuttle passes pls first pick shuttle ticket obo day general pop time single day even time andy c pm pop edc first night
90,female, staying one please shuttle sale need day called tonight shuttle stop shuttle stop edc tickets drink pm pls shuttle per going attending time weekend ga sunday las id please id tickets today making free need linq day called one two village ground day shuttle edc amazing shuttle pop selling adventure
91,female, still couple going split vegas la day one gold meet need place tonight sun asking price vegas today tomorrow
92,female, edc high edc amazing
93,female, sold edc day ga vancouver shuttle pass willing please vegas meet edc sunday edc ga tickets tonight tomorrow
94,female, day called tickets sell let edc shuttle pop vegas many linq vegas village linq anyone near time meet tomorrow tia tonight able pick
95,female, lost selling cheap free shuttle lines get festival need least people getting tonight sun day even night going solo time meet within tickets stolen please shuttle going
96,female, anybody anyone selling ga pass santa time shuttle lv tickets guess meet around linq wait
97,female, anybody tonight go going hakassan edc amazing experience day also going split vegas village shuttle im
98,female, need sat u need id free get painted please get tongue u vip
99,female, ga
0,male, vip edc ticket obo good edc day tix good deals going vacation meet
1,male, selling kandi get thank tickets tonight pregame ga pass call anyone extra room meet around friday made free entry day vip sale low make selling beyond free merch ga ticket name meet strip friday meet cosmo pm reservations right ga passes village pass las got fire ga parking tonight sat las made need somewhere meet tonight better
2,male, ga days best rides tonight help
3,male, https people selling linq got vegas anywhere see today asking day many got day vip get em edc
4,male, edc town day passes san edc wristband sat edc tix got spot ga willing let tonight
5,male, day ga pass festival ga cash rides free get scammed tonight tomorrow morning get guest edc tickets two edc babes people tonight sell want thank day passes help
6,male, edc day ticket willing good deals tonight would las lol las vegas right hotel good las las people paying got cash good going sunday shoot las rides get parking day airport day parking good morning san tonight tomorrow meet
7,male, vip las made las rides las see day please let lol
8,male, anybody wants play tonight pregame see us las lol edc day tix get wristbands please help day vip ticket name ga cash get enjoy want coming ga tickets green see axwell edc sure got cancelled want thank guys whats app going idk good tickets
9,male, looking needing meet las got tree tonight need two
10,male, got married tonight got extra tickets tonight need help tonight got day free going take going today hope day club edc stop sorry good las got scammed las day vip going hour vegas staying tonight see tomorrow tickets paying good edc sure tonight hakkasan people join see guys soon possible get money day free tonight tomorrow get wrist ga extra tonight would tonight need ticket
11,male, got told make get guest tonight help day tickets sat got bad day airport people got deals good deals got cash shit took
12,male, https see meet asking good get cheap get replacement tickets green want come fully going get em day tickets paying las vegas anywhere meet well
13,male, got told got sunday sale message good going day till meet las good get em good morning afternoon see soon see electric shit got
14,male, sure air people got cash people
15,male, day club ga cash people got one thought people space going till get room ride made kandi weekend anyone says please come say hi message asap tickets comment edc day tickets two village pass meet asking going hour good going take edc tix las meet excalibur want thank people awesome free tonight would day willing tonight saturday edc tix ga parking lot got married las rides avoid got
16,male, edc tickets
17,male, edc wristbands pm interested make
18,male, need two vip ga willing see axwell people gotta ga extra get box
19,male, need place got
20,male, https soundcloud see meet las going vacation tonight better ga extra ga tix
21,male, ok cried get ladies hotel part got tree day
22,male, follow
23,male, selling day airport meet let go las got bad meet strip selling day general day vip tickets asap las tonight dj hotel resort tonight
24,male, sure good fam need shuttles meet
25,male, sunday pass sat tickets las get box pick pass
26,male, sunday shoot day ga unregistered edc las lol people selling edc band tickets box tonight better left get guest free entry got scammed right meet excalibur people got em meet tonight dj good fam want thank ga unregistered pm first made tickets unregistered
27,male, driving day ga extra one day till good vibes
28,male, anyone extra space good tonight sat made
29,male, driving las las want
30,male, day free las shit fucked need shuttles around want pick spot tickets tonight see soon
31,male, vip unregistered day ga days call tickets today day tix meet vegas lasvegas tonight tomorrow las rides
32,male, ga pass sat see tonight
33,male, sure good fam need find people selling passes help want meet asking tonight think tonight help
34,male, got cash good deals see today edc wristband best offer day many want good meet trade kandi tonight saturday got told want hangout people selling bassrush get em shit need shuttles still vegas local tonight saturday hmu meet las meet hotel resort
35,male, selling sunday band tonight better ga sunday need find edc passes sat made tickets sunday vip las
36,male, free guest meet las tonight see axwell n going electric day solo tickets las vegas festival
37,male, anybody day willing let get wrist day club got sunday ga cash people good time fun day tickets sunday need energy want price ga bassrush meet beautiful see today hope see got bad free made free want buy tonight sell made meet front pm first come say going till free people
38,male, https soundcloud day vip tonight hakkasan lol ga vip las day tickets paying going fire got extra edc babes going fire want pick tickets
39,male, sure air day tix meet buy good get cheap las tonight help made good vibes edc band tonight saturday good got day passes sat got
40,male, ga cash
41,male, driving like good
42,male, hey hey tonight could people selling kandi meet asking good good want
43,male, free going day free going hard ga bassrush please pm inside shit tonight dj please
44,male, anybody know price good
45,male, edc must want
46,male, ga cash day free people las get mirage ga day ga tix lol day ticket obo edc stop us edc sunday shoot please help win ga days prefer day parking want help got married lights please give edc stop las day ga wristband sunday wristbands tonight think las las get use tonight better going fire shit good deals hmu meet damn shit good got told going today tonight dj pm back please post since going get mirage good fam las day willing people day parking want price ga wristbands back insomniac good got told vegas village tonight would rides got told see tomorrow morning las free meet tonight help want
47,male, free good day willing pay pick next las made las want tickets hmu interested las rides going stay meet las got bad got cash edc
48,male, got vegas sets want price las las
49,male, free get wrist tickets shuttle wow day passes henderson want meet trade going home friday tonight sat sun got tree ga passes tonight think edc wristbands dm free rider message edc must free water day airport want trade going fire ass vegas edc tickets unregistered edc tickets sat ticket las lol everyone get money tickets las get another free merch win tonight need shuttle last call meet tonight saturday get married good plur tickets sat lol see edc las vegas monday meet new people gotta
50,male, hey people got two general free merch edc stop day vip edc ticket please give free want hangout please hmu offers get money day vip tonight encore ga unregistered meet tonight dj see good one last going sunday linq edc must free merch shit las see post tickets hmu las get another right want meet let going vacation good good morning tickets las shit nightmare edc tickets encore get ladies available ga cash edc ticket hmu best
51,male, vip unregistered good get scammed las
52,male, selling two also people tonight dj see good want come say tonight hakkasan made got told us
53,male, free meet
54,male, free ride got vegas anywhere got shuttle busses good want tickets paying going way need day pass linq las made edc las good size people need day tix got las shit took free merch get shuttle san day willing trade linq meet well people tonight dj pm inside see day happy see axwell see post day solo las meet let want ask edc
55,male, hey las get room ga passes cash made see
56,male, vip bands got told edc must people
57,male, two linq las want help made going encore get thank good tonight better
58,male, selling one village stop get box day airport
59,male, selling linq meet asking got day tickets shuttle san meet front us dont shy meet tonight pregame made one till free entry rides good got bad need know interested tonight thanks safe tickets shuttle downtown see today let know please give vegas village pay ga las rides people edc wristband friend ga willing see edc sure made get scammed
60,male, got cancelled las free merch day many free meet around know late early day club day airport people edc tonight help get em people stranded left get fucked want come years get use free merch please going hour
61,male, one last day till free ride home
62,male, ok people travel see soon message get box tickets encore las get use tickets box tonight need one female good tickets near meet beautiful got two shuttle pass pretty vegas la tickets box free ride well las tonight could good meet front meet crew tag
63,male, anybody want tickets today asking get scammed right back obo see tomorrow ride day
64,male, got cash made free offers day please tonight anyone vegas already day edc
65,male, sunday shoot las get married got day ga saturday hmu details people edc tonight see electric
66,male, follow want pick right going idk edc
67,male, need ride day
68,male, anyone taken meet las rides lol ga available edc tickets inbox day please let meet anywhere las
69,male, free going
70,male, ga parking edc ticket san
71,male, need place crash
72,male, anyone needs tickets las made tickets comment meet
73,male, got tree ga days edc stop right edc town ga tix ga saturday got cash las day airport las vegas friday made people
74,male, sure free comment meet new friends going take day many las day ga day general tonight sat made need somewhere want pick good
75,male, ok right free meet strip selling sunday
76,male, hey want ask tonight anyone need im meet damn meet around linq
77,male, got cash come going electric edc tickets days tonight sell day passes help meet trade got extra las shit tickets sat tickets sunday wristbands paying see meet new ga wristbands please edc wristband mgm firm vegas already lol
78,male, two also good fam anyone still extra tickets inbox get guest edc band people passenger people paying wristband tonight need meet well tickets today hmu las wants know much good good deals people day edc passes best tonight saturday pass message tonight thanks people tonight got vegas sets get married see good meet cosmo see electric good day tix rides lol going idk pm tonight anyone needing meet hotel meet new york day free people tonight
79,male, looking buy meet damn make back edc town
80,male, got sunday tickets two good vibes ga wristbands day vip weekend asap ga willing rides lol got em got vegas staying excalibur get scammed rides meet well got day club today go bassrush tonight sat got sunday anyone needing got one unregistered cash tonight better going idk tonight thanks edc wristband anyone tropicana get em vegas friday got cancelled tickets box day passes festival want thank get enjoy people stranded meet anywhere cash lol
81,male, https good tickets today hmu vegas
82,male, https going take group see day solo people major vegas staying good size
83,male, hey girl make tonight dj
84,male, free water going till edc wristband sunday willing good time get parking read free merch meet well edc sunday vip tickets comment see soon lol everyone still las vegas selling bus left friday pass san rides get wristbands got told las made ga vip ticket sunday wristbands got bad day tix going day tickets today let got day many ga vip weekend asap got extra
85,male, free guest free edc
86,male, one black tonight dj going get money tickets inbox info made tickets encore good plur going get scammed people space got scammed shit tickets sunday shoot
87,male, free meet around get use
88,male, anybody wants edc babes going hard edc tonight anyone tropicana want go hard edc must meet cosmo going electric day airport lol edc day till get another way got tree right hotel ever going today wet see good get room shit need money tickets box want memories get another see las lol coming omnia edc town see
89,male, sure good day willing trade las got two edc tickets asap going encore good size ga tix got
90,male, sure day general free day willing day ga unregistered tonight
91,male, anybody friday want come las free merch people join make las day general free get shuttle lines made get thank meet trade want pick
92,male, vip wristbands las people paying tonight think ga ticket san francisco get guest see electric heart edc tix got vegas hotels good want im get enjoy want try shuttle buses meet beautiful
93,male, sunday passes st time fun chill guy ga extra tickets sunday shoot us good got day ticket lmk ga tix want fuck las got told see tonight
94,male, ga cash las tonight tomorrow ride airport day free made get mirage going take meet crew want hangout got spot ga parking ga willing people travel edc tickets green tonight saturday edc must ga wristband message comment edc tonight help would
95,male, day please come get enjoy tickets green people edc family got married ga parking good going take get guest list tonight way tonight anyone needs meet tonight encore made going way las lol las good edc town need help win day parking got tree guys really tonight help las lol everyone want come pregame spot day pass
96,male, sure people much day ga vip ticket return ga vip meet strip hotel tonight would water free offers vegas today wet
97,male, anyone spots ga ticket willing good vibes
98,male, sunday need ga days got bad edc tickets sat lol friday las lol going electric meet cosmo free people travel ga vip ga bassrush want memories tonight pregame people
99,male, ga bassrush
